module_code,label_id,label
inspectBooking,lbl.inspectBooking.inspectBookingMenubar.tools,tools
inspectBooking,lbl.inspectBooking.inspectBookingLinkbar.comments,Comments
inspectBooking,lbl.inspectBooking.tabParties.vendorInformationSection.vendorCode,ID Vendor
inspectBooking,lbl.inspectBooking.tabHeader.inspectBookingItems.productCategory,Product Division
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingAttachmentsList.attachmentDelete,Attachment Delete
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFileList.shareFileName,File Name
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFileList.shareFileType,File Type
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFileList.shareFileDescription,Description
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFileList.files,Files
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFileList.shareFile,File No.
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFileList.shareFileValidFrom,Effective from
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFileList.shareFileValidTo,Effective to
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFileList.shareFileNotesOrInstructions,Notes / Instructions
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFileList.updateUserName,Last Modified by
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFileList.updatedOn,Last Modified on
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFileList.shareFileStatus,Status
inspectBooking,lbl.inspectBooking.tabHeader.generalInformationSection.inspectTemplate,Inspection Template Lookup
inspectBooking,lbl.inspectBooking.tabHeader.generalInformationSection.inspectors,User Lookup
inspectBooking,lbl.inspectBooking.inspectBookingMenubar.createGroup.newInpectReport,Inspection Booking Shipment Items Lookup
inspectBooking,lbl.inspectBooking.tabParties.factoryInformationSection.factory,Select Factory
inspectBooking,lbl.inspectBooking.tabParties.factoryInformationSection.address,Inspection Booking Address Lookup by Factory
inspectBooking,lbl.inspectBooking.tabParties.vendorInformationSection.vendor,Select Vendor
inspectBooking,lbl.inspectBooking.tabParties.customerInformationSection.customer,Select Customer
inspectBooking,lbl.inspectBooking.tabHeader.inspectBookingItems.selectFormItem,Select Item
inspectBooking,lbl.inspectBooking.tabHeader.inspectBookingItems.itemColors,Item Color Lookup
inspectBooking,lbl.inspectBooking.tabHeader.inspectBookingItems.itemSizes,Item Size Lookup
inspectBooking,lbl.inspectBooking.tabHeader.inspectBookingItems.reportTemplate,Inspection Report Template Lookup
inspectBooking,lbl.inspectBooking.tabAttach.inspectBookingShareFile.selectShareFile,Select Share File
inspectBooking,lbl.inspectBooking.tabHeader.inspectBookingItems.selectFormVPO,Shipment Items Lookup
